"drug","formulary_drug_cd"
"Neo*IV*MetronidAZOLE","nmetroni"
"Lyrica","PREG25"
"Alprazolam","ALPR5"
"Olanzapine (Disintegrating Tablet)","OLAN5DTB"
"Phenazopyridine HCl","PHEN200"
"Quetiapine extended-release","QUET200XR"
"Simvastatin","SIMV10"
"Clonidine ","CLON3P"
"Ribavirin Aerosol","RIBAV6I"
"Mesalamine Desensitization","MESADESEN8"
"Golytely","GOLY4L"
"Hydroxyurea Suspension","HYDR500L"
"Isosorbide Dinitrate","ISOS20"
"Metoprolol Tartrate","METOSUSP10L"
"Iodosorb",NULL
"Ofloxacin","OFLO0.3E"
"FemARA","LETR2.5"
"Lidocaine Viscous 2%","LIDO20L"
"Clobetasol Propionate 0.05% Cream","CLOB.05O30"
"Ofloxacin","OFLO0.3ES"
"Ritonavir/Lopinavir","KALETRA"
"Zyflo CR",NULL
"Restasis",NULL
"Nitrofurantoin Monohyd (MacroBID)","MACR100"
"guaiFENesin","GUAI600T"
"Methotrexate","MTX25"
"Labetalol","LABE100"
"Morphine Sulfate IR","MORP30"
"Vitamin E","VITE100"
"Insulin","NOVO70/30"
"Neo-Synephrine","PHEN5N"
"Ampicillin","AMPI500L"
"Multi","MVI"
"epinephrine","EPI1I"
"Bumetanide","BUME25I"
"Rifaximin","RIFA200"
"DOPamine","DOPA200I"
"Syringe (Neonatal) *D7.5W*","NEOSYRD7.5W"
"Savella",NULL
"Nafcillin Desensitization","NAFC1000I"
"*NF* Erlotinib","ERLO25"
"Tacrolimus","TACR1IND"
"Mesalamine Desensitization","MESADESEN9"
"*NF* Tacrolimus Suspension","TACR1"
"Sodium Fluoride (Dental Gel)","PREV60TP"
"Levofloxacin","LEVO750"
"Calcium Lactate",NULL
"HEParin (Porcine) in NS (PF)","HEPA1000/500"
"Paroxetine","PARO10L"
"Miacalcin","CALC2N"
"Sodium Citrate/Citric Acid","BICI30L"
"Amylase-Lipase-Protease","CREO10"
"ALBUMIN","ALBU5250"
"Enema Disposable",NULL
"Epinephrin","EPIPEN0.3I"
"Megestrol ","MEGE40L"
"Topiramate (Topamax)","TOPI25"
"Dextromethorphan Polistirex","DELSYM"
"Prednisone","PRED1"
"Lacosamide","LACO50"
"L-Hyoscyamine SL",NULL
"Peridex",NULL
"HYDROmorphone","HYDR20/100NS"
"Heparin Flush","HEPF100I"
"Docusate So","DOCU100L"
"Fentanyl Citrate","METO5I"
"saliva substitution combo no.2","CAPH15L"
"levoCarnitine","LCARN330"
"Gleevec (imatinib mesylate)",NULL
"HYDROmorphone","HYD25PCA"
"Cortisporin Otic Susp","CORTOTIC"
"Valganciclovir HCl Suspension","VALGA450"
"Ferrous Sulfate","FERR300L"
"D5W","MORP250D5W"
"Nasonex",NULL
"Phenylephrine 2.5% opth",NULL
"NEO*PO*Ferrous Sulfate Elixer","NEOFER"
"Ceftazidime","CEF2I"
"Hydroxypropyl Meth. 2.5% Ophth","HYDR2.5ES"
"Amoxicillin-Clavulanate Susp.","AUGMSUSP"
"MVI","MVI"
"phen","PHEN50"
"PredniSONE","PRED5L"
"sodium bi","NABC50I"
"Fondaparinux Sodium","FOND7.5"
"Loxapine Succinate","LOXA25"
"Methylprednisolone Na Succ","MPRED5I"
"Cortroysn","CORTIND"
"*NF* Rocuronium Bromide","ROCU50I"
"Quinidine Gluconate","QUIG324"
"pyridostigmine",NULL
"Levalbuterol (Xopenex)",NULL
"Ethosuximide","ETHO50L"
"Xylocaine",NULL
"Meperidine HCl","MEPE100AMP"
"NexIUM","ESOM20"
"Aluminum-Magnesium Hydrox.-Simethicone","MAAL30L"
"Olanzapi","OLAN5DTB"
"Methotrexate",NULL
"0.9% Sodium Chloride","NS50"
"Sertraline","SERT100"
"Morphine","MORPCONC"
"Januvia","SITA100"
"Isosorbide Mononitrate ","IMDU30"
"Hydromorphone","HYD25PCA"
"Idarubicin HCl","IDAR10I"
"Neurontin",NULL
"Neoral Study Med (*IND*)","NEOR100IND"
"Azathioprine","AZAT50"
"Desitin","DESI30O"
"NIFEdipine CR","ADAL60"
"*NF* Bicalutamide","BICA50"
"Terlipressin Study Drug (*IND*)","TERLIND"
"Zaditor",NULL
"NEO*PO*Potassium Phosphate","NEOPHOS2"
"Sucralfate",NULL
"Heparin Flush ","HEPA100SYR"
"Metoprolol XL","TOPR25"
"NEO*IV*Phenobarbital","NPHEN10I"
"Prednisolone Acetate 0.12% Ophth. Susp.","PRED125ES"
"dexlansoprazole (Dexilant)",NULL
"NEO*IM*Hepatitis B Vaccine","HEPV10I"
"Morphine Sulfate","MORP1000I"
"Bupivacaine 0.1%","BUP01ED"
"PHENObarbital Elixir","PB30EL"
"Hyzaar(Losartan/HCTZ)",NULL
"NiCARdipine IV","NICA2.5I"
"Heparin ","HEPA30I"
"Alendronate Sodium","FOSA10"
"Betamethasone",NULL
"Bacitracin Ointment","BACIEO"
"zydis","OLAN5DTB"
"ChlorproMAZINE","THOR25I"
"Synarel",NULL
"Norepinephrine Bitartrate","ACET20/4I"
"Dexamethasone Ophthalmic Soln 0.1%","MAXI1ES"
"Docusate S","DOCU100"
"Sanctura XR",NULL
"dilt","TIAZ300"
"Estradiol","ESTR5P"
"Diprivan","PROP100IG"
"Levothyroxine Sodium","LEVO112"
"Metoprolol","METO25"
"Haloperidol Lactate","HALO2L"
"Lactulose Enema","LACT250R"
"Scopolamine Patch","SCOP15P"
"Tacroli","TACR1SM"
"Lidocaine 2%","LIEP220I"
"Cytarabine","CYTA2000SYR"
"Albuterol Sulfate","ALBU3H"
"Calan SR","VERA240SR"
"Terazosin HCl","TERAZ1"
"NEO*IV*Epoetin Alfa","NEOEPO"
"AcetaZOLAMIDE Sodium","ACE500I"
"Morphine Sulfate","MORP1-6"
"Propafenone HCl","PROP225"
"Tretinoin","TRET40L"
"Milrinone Lactate","MILR10I"
"LevoFLOXacin","LEVO250PM"
"Zosyn Desensitization","ZOSYNDESEN"
"Tretinoin Suspension","TRET10C"
"Proglycem",NULL
"Desipramine","DESI25"
"Foltx",NULL
"Skelaxin","META800"
"Indomethacin","INDO50R"
"Agrylin","ANAG500"
"Strattera","ATOM40"
"Zytiga (Abiraterone) 250mg",NULL
"Lansoprazole","WARF5"
"Dexam","DEXA2"
"Fleet Enema",NULL
"Renagel","SEVE400"
"Meropenem","MERO500I"
"Avodart (Dutasteride)",NULL
"Perphenazine","PERP8"
"Procarbazine HCl","PROC50"
"NEO*PO*Ranitidine","NEORAN"
"Aluminum-Magnesium Hydroxide","MAAL30L"
"Cephalexin","CEPH500"
"D5W 0.1% Albumin","D5250.1ALB"
"Varicella Virus","VARI1I"
"Diazepam","DIAZ5"
"Iodine Strong (Lugols)","LUGOL"
"Isotonic Sodium Chloride","GENTBASE1"
"Metformin HCl","METF500XR"
"Xanax","ALPR25"
"Lisinopril","LISI10"
"Mycophenolate Mofetil Suspension","MYCO200/1L"
"GlipiZIDE XL","GLUC10XL"
"Analgesic Balm","ANAL15C"
"Pentamidine ","PENT300H"
"Kaletra","KALETRA"
"D5LR","D5LR1000"
"dilt","TIAZ180"
"Hepatitis B Immu Glob (HepaGam B)","HPGB5PB"
"Piperacillin-Tazobactam","NEOZOSYN"
"Famotidine (IV)","PEPC20I"
"Fluticasone Propionate NASAL","FLUT16N"
"Betaxolol","BETA10"
"poly","POLY15O"
"Iloperidone","ILOP2"
"Cosopt",NULL
"nifer","NIFR150"
"Vimpat","LACO200"
"Namenda","MEMA5"
"aspir","ASA81"
"Pseudoephedrine HCl","PSEUD30L"
"Erlotinib",NULL
"Sarna Lotion","SARNL"
"diltiaz","TIAZ180"
"Levoleucovorin","LEVO50I"
"CycloSPORINE (Sandimmune)","CSA25"
"NEO*IV*Fat Emulsion","NFAT8"
"Byetta",NULL
"Docusate Sod","DOCU100"
"Norethindrone-Estradiol","NE1/35T"
"Mitoxantrone","MITX20I"
"Ferrous Sulfate (Liquid)","FERR325"
"Hydrocortisone","HC100I"
"Morphine Sulfate","MORP2-6"
"Oseltamivir","OSEL12L"
"Rifampin","RIFA150"
"Amoxicillin-Clavulanate Desensitization","AUGM100L"
"Glucosamine Chondroitin MaxStr",NULL
"LABETALOL","LABE100I"
"Flecainide Acetate","FLEC50"
"Fondaparinux","FOND2.5I"
"Lidocaine 1%/Epi  1::100,000","LIEPI20I"
"Corn Starch (Bulk)",NULL
"diltiaz","TIAZ120"
"Betamethasone Dipro 0.05% Oint","BETA0.05O"
"moxifloxacin","MOXI0.5ES"
"0.9% Sodium Chloride","NS100CG"
"1/2 NS","NS451000"
"Procainamide HCl","PROC375"
"Carbidopa-Levodopa (10-100)","SINE10100"
"Caduet 5-80",NULL
"bimatoprost (Lumigan)",NULL
"Pantoprazole","PANT40"
"Hydromorphone","HYDRO4I"
"Oxymetazoline (Half Strength)","OXYM0.25"
"Clobazam",NULL
"Methylprednisolone Na Succ.","METH40I"
"Doxorubicin HCl Liposomal","DOXO20I"
"PRILOSEC","OMEP20"
"Cidofovir 0.25% Oral Soln","CIDO0.25S"
"Lidocaine ","ALBELI120"
"Diovan","VALS160"
"Acetaminop","ACET650R"
"Clofarabine  *IND*","INDCLOF20I"
"Fluticasone-Salmeterol Diskus (500/50) ","ADVA500/50"
"NEO*PO*Spironolactone","NEOSPIR4I"
"Vinorelbine","NAVEL10"
"lansopr","LANS30L"
"Rabies Immune Globulin","RABI2I"
"Clonidine Patch","CLON2P"
"Aminocaproic Acid Oral Rinse","AMIC250L"
"Tylenol Meltaways",NULL
"econ","ECON1C"
"Betaxolol HCl  0.25%","BETA25ES"
"Nifedipine CR","ADAL30"
"Asparaginase","ASPARSYR"
"levo","LEVO50"
"Papain 2.5 % Solution","PAPAIN2"
"Aspirin 81 mg or Placebo","ASPI81INDP"
"Propranolol","PROP60"
"Thiamine HCl","THIA100I"
"Zinc Oxide","DESI30O"
"micon","MICO2P"
"Glycopyrrolate","GLYCO4I"
"Nitroglycerin","NTG100PB"
"Verelan PM",NULL
"Phenytoin","PHEN100I"
"sevelamer HYDROCHLORIDE","SEVE400"
"Namenda",NULL
"De","DEXA4I"
"Levobunolol Hcl 0.5%","LEVO5ES"
"Calcipotriene 0.005% Oint","TOCA5O"
"Westcort","HYDR2/15C"
"*NF* Alemtuzumab","ALEM10I"
"Morphine Sulfate For Inhalation","MORPIM"
"dival","DIVA250"
"ezogabine",NULL
"Lidocaine","LIDO450I"
"potas","POTA20"
"Remeron SolTab","MIRT15SOL"
"Octreotide Acetate","OCTR30I"
"Calcium Acetate/Al Sulfate","DOMEPKT"
"Sargramostim","SARG500I"
"Potassium Phosphate","MAGS1I"
"Phytonadione","PHYT5"
"Midodrine","MIDO5"
"*NF* Renacidin Soln","RENA500IR"
"Enablex",NULL
"Butalbital-Acet-Caffeine","FIOC"
"Citrate Dextrose 3% (ACD-A) CRRT","ACD3/1000I"
"Mycophenolate Mofetil","MYCO1000L"
"acetylcysteine","ACET20/4I"
"Isosorbide Mono","IMDU60"
"CarafATE","CARA1"
"lanso","LANS30ST"
"Benzoyl Peroxide","BENZ2.5G"
"Desmoteplase or Placebo","DESMIND2"
"Naloxone","NALO2I"
"Imitrex","SUMA50"
"Betimol (timolol hemihydrate)",NULL
"Verapamil","VERA120SR"
"Desipramine","DESI10"
"Multivitamins W/minerals","MVITH"
"Alteplase (Catheter Clearance)","ALTE2I"
"Olmesartan","OLME20"
"Exelon","RIVA2L"
"Naltrexone HCl","NALT50"
"Trandolapril","TRAN4"
"Alternagel","ALUMI30L"
"LIDOCAINE 1% (W/Presv.)","LIDO1I"
"Sumatriptan Succinate","SUMA50"
"Altace","RAMI2.5"
"Syringe (IV Room)","SYRG1"
"Darunavir","DARU600"
"Naphazoline 0.1% Ophth","NAPH1O"
"NEO*IV*Insulin (Dilute)","INSNEO1"
"Humalog Mix 75-25",NULL
"prednisoLONE","PREDN5L"
"Fentanyl ","FENT75P"
"Imipenem-Cilastatin *NF*","IMIP500I"
"Prednisone","PRED20"
"Topiramate","TOPI200"
"Ciprofloxacin IV","CIPR200I"
"Levoth","LEVO100"
"Aspirin","ASA81"
"bisacodyl","BISA5"
"Ethacrynic acid",NULL
"Itraconazole","ITRA10L"
"anakINRA","ANAK100I"
"ValGANCIclovir Suspension","VALG50L"
"Syringe","SYRG1"
"ACD-A for CRRT","ACDA500"
"Albumin 5% (25 g)","ALBU25"
"Selenious Acid","SELE40I"
"sutent (sunitinib)",NULL
"White Petrolatum-Mineral Oil","ARTI3.5O"
"Heparin Flush CVL  (100 units/ml)","HEPA100SYR"
"*NF* Collagenase Oint","STLTP"
"Chantix",NULL
"Tranylcypromine Sulfate","TRAN10"
"Levoxyl","LEVOX125"
"Ziprasidone","GEOD20"
"Lipitor","ATOR10"
"Vyvanse",NULL
"Methylene","MBLU10I"
"sodium","NABC50S"
"Repaglinide","REPA1"
"Zytiga (Abiraterone) ",NULL
"Beractant","BERA4I"
"Heparin Flush (10 units/ml)","HEPA10SYR"
"Zyflo","ZILE600CR"
"Adderall XR","ADDE20XR"
"Azacitidine (Subcut)","AZAC100I"
"nifedipine","ADAL90"
"potassium citrate",NULL
"Ethambutol HCl","ETHA400"
"Hepsera","ADEF10"
"SW","KCLBASE"
"cinacalcet","CINA30"
"Desipramine HCl","DESI10"
"Gleevec",NULL
"Predni","PREDN5L"
"Candesartan Cilexetil",NULL
"D5W (Glass Bottle)","CYCLOBASE"
"Testosterone 5mg Patch","TEST5P"
"PENTObarbital Sodium","NEBU1000I"
"Balsalazide","BALS750"
"Pneumococcal 23-Val P-Sac Vac","PNEU5I"
"Chloroprocaine 2% MPF","CHLO20I"
"Penicillamine","PENI250"
"Mycophenolate Mofetil","MYCO500I"
"Furosemide","FURO20I"
"Trifluoperazine HCl","TRIF5"
"Sodium Fluoride 1.1% (Dental Gel)","PREV60TP"
"EPINEPHrine","EPIS10I"
"Basiliximab",NULL
"Dex","DEXA2"
"Kaletra","KALE200/50"
"traZODONE HCl","TRAZ100"
"Heparin Flush PICC (100 units/ml)","HEPF100I"
"Ranolazine",NULL
"Nitroglycerin","NITR50I"
"NEO*IV*Fat Emulsion","NEOFAT"
"Trisodium Citrate 4% Replacement Soln","CVVH3556I"
"Ciprofloxacin Ophth Soln","CILO25ES"
"Feraheme","FERU510I"
"Amiodarone HCl","AMIO150I"
"Albuterol 0.083% Neb Soln","ALBU3H"
"Ephedrine Sulfate","EPHE50I"
"DHEA",NULL
"Aminocaproic","AMIN5"
"23.4% Sodium Chloride","ICPKIT"
"Nateglinide","NATE60"
"Ciprofloxacin","CIPR500"
"CycloSPORINE ","NEOR100"
"LeVETiracetam","LEVE500"
"tobramycin","TOBRFES"
"diltia","TIAZ120"
"Pyrimethamine","DARA25"
"Magnesium Sulfate","MAG2SYR"
"Fluocinolone Acetonide 0.025% Cream","SNLR260C"
"Atrovent HFA","IPRAPF"
"Indigotindisulfonate Sodium","INDIGO"
"Docusate","DOCU100"
"Brinzolamide","BRIN1E"
"*NF* Cefotetan","CEFOT2I"
"mege","MEGE800L"
"CeftriaXONE","CEFR1I"
"NEO*IV*Metoclopramide","NEOMETO"
"Lamivudine-Zidovudine","COMBTAB"
"Lubiprostone","LUBI24"
"Phenytoin","DILA30"
"Proplex T","FACT9"
"HYDROmorphone PCA","HYD50PCA"
"phenytoi","DILA100"
"Buprenorphine HCl","BUPR3I"
"fenofibrate micronized","FENO48"
"Sodium Chloride","NACL4I"
"Muro 128",NULL
"Oxymetazoline","OXYM15"
"Dextromethorphan Poly Complex","DELSYM"
"Zofran","ONDA8ODT"
"Calcium gluco","CALG1I"
"Ear Wax Removal Drops","GLYO65OT"
"HumaLOG Mix 75-25","HUMA75/25I"
"Corticotropin Gel","ACGEL80I"
"Verapamil HCl","VERA5I"
"Nicardipine","NICA20"
"Influenza Virus","INFL0.5LF"
"Labetalol HCl","LABE200"
"Azelastine","AZEL137N"
"divalproex","DIVA500"
"Miconazole Powder 2%","MICO2C"
"Diphenhydramine (Benadryl) cream",NULL
"Meperidine","MEPE500PCA"
"Triamterene-Hydrochlorothiazide","DYAZ1"
"Methadone HCl","METH25PCA"
"Dopamine HCl","DOPA200I"
"Acular",NULL
"Propofol","PROP100IG"
"Fentanyl","FENT2.550"
"Hydrochlorothiazide","HCTZ50"
"NEO*PO*Fluconazole","NEOFLUC"
"CeftriaXONE","CEFX1F"
"beclomethasone dipropionate","BECLINH"
"Urea-C40",NULL
"Fluoxetine HCl","PROZ20"
"Multivitamins W/minerals","MULT5L"
"Exelon Transdermal Patch",NULL
"Uroqid-Acid No.2",NULL
"Meperidine","MEPE50"
"Clonidine HCl","CLON1I"
"Syringe (Neonatal) *D5W*","NEOSYRD5W"
"Bicalutamide","BICA50"
"Mirapex","PRAM125"
"Tylenol PM Extra Strength","APAP500"
"Orabase Dental Paste","TRIA1P"
"diValpro","DIVA250"
"Ondansetron Hcl","ONDAN4I"
"Hydrocerin","EUCE120C"
"Dobutamine HCl","DOBU250I"
"Betaseron",NULL
"METHYLEN","MBLU10I"
"rocuronium","ROCU50I"
"Hepatitis A Vaccine","HEPAV1I"
"Valganciclovir HCl","VALC60L"
"Butalbital-Acetaminophen-Caff","FIOC"
"Liothyronine",NULL
"Sulfacetamide-Prednisolone Ophth. Susp.","BLEP2ES"
"Ofloxacin (Ophth)","OFLO0.3ES"
"CeftazIDIME","CEFT1V"
"Tobramycin Inhalation Soln","TOBR300H"
"Milk of Magnesia","MOM30L"
"*nf* Loteprednol 0.5% ophth",NULL
"Tenecteplase","TENEIND"
"fenofibrate nanocrystallized","FENO48"
"PHENObarbital","NPHEN10I"
"Ritonavir (Oral Solution)","RITO80L"
"Potassium Chloride",NULL
"Niacin","NICA500"
"Venlafaxine","VENL75"
"CVVH Citrated","CVVH3556I"
"Epinephrine","EPIS10I"
"artif","ARTI3.5O"
"Pergolide Mesylate","PERM5T"
"Adenosine","ADEN90I"
"Piperacillin-Tazobactam","ZOSY4FPB"
"Ranitidine Hcl","RANI150"
"Propofol",NULL
"Lactaid","ARTI3.5O"
"Lithium","LITHI300L"
"Zantac 75",NULL
"Midazolam","MIDA100"
"Metoprolol Succinate XL","METO50"
"Aspirin EC","ASA325"
"hepar","HEPA100SYR"
"HEPARIN","HEPF100I"
"Testosterone Propionate","TEST2.5"
"Multivitamin IV (Without Vit. K)","MVINK10I"
"Ketamine Study Drug (*IND*)","SEPKET10I"
"Triamterene","DYAZ1"
"Niac","NIAC500SR"
"Carbamide Peroxide 6.5%","GLYO65OT"
"BACTRIM","BACT20L"
"Soln","FENTSOLN50"
"Bextra",NULL
"Tacrolimus","TACR5SM"
"Hydromorphone (Rectal)","HYDR3R"
"Isosorbide Mononitra","IMDU30"
"Methylprednisolone Na Succ","MPRED1I"
"bisoprolol fumarate","BISO5"
"Calcium Chloride","CACL1000I"
"Hydroxyurea","HYDR500L"
"valproi","VAL250L"
"Sirolimus","SIRO0.5"
"*NF* Pegaspargase","PEGA75I"
"Sodium Chloride ","SODI3N"
"Sulfameth/Trimethoprim SS","BACTDS"
"bisoprolol","BISO5"
"*NF* Lidocaine Patch 5%","LIDODERM"
"Tears Naturale PM",NULL
"Pergolide Mesylate","PERM1"
"Tetanus-DiphTox-Acellular Pertuss (Adacel)","TDAP0.5I"
"prednis","PRED20"
"Vitamin B-6","PYRI100"
"Ibuprofen","IBUP200L"
"Diltiazem","TIAZ240"
"Cyclophosphamide","CYCL250L"
"Rivastigmine",NULL
"Glycerin (Ped)","GLYCPED12"
"motilium",NULL
"Phytonadione","PHYT1L"
"Pramosone","PRAM1C"
"Scopolamine HBr","SCOP4I"
"Albumin 25% ","ALBU25"
"Naphazoline-Antazoline","VASOAES"
"Thyroid","THYR120"
"Dextromethorphan Poly Complex","DEXT5L"
"Estroven Maximum Strength",NULL
"Insulin Human Regular","HUMU100I"
"Heparin (Porcine)","HEP10I"
"Coenzyme Q10 Study drug","COENIND"
"Colestipol HCl","COLE1"
"Sterile Diluent for Flolan","STER50I"
"Alcohol Dehydrated","ETOH98I"
"Propranolol LA","PROPLA80"
"Alemtuzumab","ALEM30I"
"Methotrexate Sodium P.F.","MTX50I"
"depak","VAL250L"
"NEO*PO*Acetazolamide (10mg/1ml)","NEOACET"
"Anagrelide","ANAG500"
"Cephalexin Desensitization","CEPHDESEN1L"
"Heparin Flush CVL  (100 units/ml)","HEP1I"
"Fosaprepitant","FOSA150IV"
"Betimol",NULL
"Belladonna Alkaloids-Opium","B&OSUPP"
"Rifabutin","MYCO150"
"Pyrimethamine Desensitization","DARA25"
"Junel FE 1/20 (28)",NULL
"MethylPREDNISolone Sodium Succ","METH40I"
"Epinephrine 1:1000","EPI30I"
"Rifaximin","RIFA550"
"Methad","METH1L"
"HYDROmorphone","HYD12.5PCA"
"Cartia XT",NULL
"Ampicillin","AMPI500"
"Aspirin Childrens","ASA81"
"Mepe","MEPE50I"
"*NF* Moxifloxacin","MOXI400PM"
"Efavirenz","EFAV20L"
"*NF* Nifedipine XL","NIFXL30"
"Diltiazem","TIAZ300"
"Epinephrine HCl","EPI400SYR"
"HYDROmorphone","H2B1ED"
"Calcitriol","CALC25"
"Sudafed","PSEU30"
"Lidoderm","LIDO5T"
"HYDROmorphone","HYDR2I"
"Simvastatin","SIMV40"
"HYDROmorphone","HYDM4"
"Hydrocortisone Na Succ","HC100I"
"EPINEPHrine","EPI1I"
"2","H1B1ED"
"Thiamine HCl","PROP500IG"
"abiraterone (Zytiga)",NULL
"Charcoal","CHAR50L"
"Thiamine HCl","THIAM100I"
"Colesevelam (WelChol)",NULL
"Formoterol Fumarate","FORM12H"
"Menthol-Cetylpyridinium Cl","CEPACOL1"
"Propofol (Diprivan)","PROP200I"
"Gentamicin","GENT20I"
"CeftriaXONE","CEFT500I"
"Calcium Gluconate","CALG1I"
"Potassium Chloride Replacement (Oncology)",NULL
"neutra","NEUT"
"Methylergonovine Maleate","METH2"
"EPINEPHRINE","EPIS10I"
"Rifampin","RIFANEO60L"
"*NF* Ivermectin","INVE3"
"Heparin Dwell (1000 Units/mL)","HEP10I"
"Hydrocodone-Acetaminophen (5mg-500mg)","VICODIN"
"Epi","EPIS10I"
"Insulin","INSULIN"
"methylph","METH20SR"
"Albumin, Human","ALBU25100I"
"Potassium Chloride ","KCL20P"
"Imipramine","IMIP10"
"Codeine Sulfate","CODE30"
"cellcept","MYCO250IND"
"Bacitracin  ","BACIEO"
"Simvastatin 40 mg or Placebo","SIMVIND"
"Multivitamins","MVI10I"
"Provigil","MODA200"
"Nitroglycerin","NTG100I"
"0.45 % Sodium Chloride","0.45NS3000I"
"Rilutek","RILU50"
"HEPARIN  FLUSH","HEPA100SYR"
"*NF* Sunitinib",NULL
"Ipratropium bromide",NULL
"Morphine Sulfate","MORP2-4"
"Ephedrine","EPHE50I"
"Epoetin Alfa","EPO3INESRD"
"*NF* Pediatric Vitamins ADC","TRIVIT"
"Florastor",NULL
"Neoral *Study Medication*","NEOR100IND"
"Flecainide Acetate","FLEC100"
"Desogestrel-Ethinyl Estradiol",NULL
"Hydromorphone","HYDR2"
"Sulfameth/Trimethoprim ","BACTDS"
"Clopidogrel","CLOP300"
"Oxycodone-Acetaminophen","OXYC20"
"Triamcinolone Acetonide 0.025% Ointment","TRIAM.025/15O"
"D5W","DEXT500B"
"Sodium Polystyrene Sulfonate","KAYEX50R"
"Guanfacine","GUAN1"
"multivi","MULT5L"
"Olanzapine","OLAN7.5"
"Bupivacaine 0.5%","BUPI5I"
"Liotrix-1","THYR1"
"Furosemide","FURO10L"
"Tucks","ANUS1O"
"Inteferon Beta 1A (Rebif)",NULL
"sarna","SARNL"
"Labetalol","LABE200"
"Dextrose 5%","LEVOBASE3"
"charc","CHAR50L"
"Carafate","CARA1"
"insuli","INNHI"
"Aspir","ASA81"
"Polysaccharide Iron Complex","NIFR150"
"Metoprolol ","METO50"
"Potassium Chloride","MAGS1I"
"Docusat","DOCU100L"
"Acular","KETO.5ES"
"Dorzolamide","DORZ2S"
"OLANZapine","OLAN5"
"ACETAMINOPHEN (LIQUID)","ACET650L"
"cortisporin","CORTOTIC"
"Amoxicillin-Clavulanate Desensitization","AUGM0.125L"
"Aspirin","ASPIDESEN"
"Coenzyme Q10",NULL
"Hyaluronidase",NULL
"Levonorgestrel","LEVO1.5"
"Multi","MULT5L"
"Albumin 5% ","ALBU%500"
"Ondansetron ODT","ONDA8ODT"
"0.9% Sodium Chloride","MIDAZBASE"
"mul","MULT5L"
"Heparin Sodium","HEPA10000/5I"
"Acyclovir","ACYC40L"
"Tretinoin Suspension","TRETL"
"artif","ARTTS"
"Rosuvastatin Calcium","ROSU20"
"Torsemide","TORS20"
"*NF* Sumatriptan","SUMA25"
"Zafirlukast","ZAFI20"
"Liothyronine Sodium",NULL
"LaMOTrigine","LAMO5"
"Gentamicin","NYST5L"
"nia","NIAC500SR"
"Viokase-8","VIOK"
"Ciprofloxacin","CILO25ES"
"bis","PEPT240L"
"Diphenhydramine HCl","DIPH25L"
"Isosorbide Dinitrate","ISOS10"
"Syringe (Neonatal) *D10W*","NEOSYRD10W"
"LanTUS","GLAR100I"
"AMINOCAPROIC","AMIC250L"
"Ritonavir study med",NULL
"AndroGel","TEST5G"
"Levonorgestrel","LEVO0.75"
"Estrogens Conjugated","ESTR625"
"clindamycin",NULL
"hepar","HEPF100I"
"Hexavitamin","MVI"
"Morphine Sulfate","MORP20R"
"Roxanol","MORPCONC"
"cranberry extract-vit C 4200/40 mg",NULL
"Ketorolac Tromethamine","KETO.5ES"
"Isosorbide M","IMDU30"
"Clorazepate Dipotassium","CLOR375"
"Niacin","NIAC50"
"Loperamide HCl","LOPER2L"
"Guaifenesin","GUAISF120L"
"sodium bicarbo","NABC50S"
"Iopanoic Acid","IOPA500"
"Econazole 1% Cream",NULL
"Megestrol Acetate","MEGE20"
"LoCholest Light",NULL
"Lamictal","LAMO100"
"Pramipexole","PRAM.25"
"VinORELbine (Navelbine)","NAVEL10"
"POTassium Chloride","NEOKCL"
"Epoetin Alfa","EPO20INESRD"
"Bismuth Subsalicylate Chewable","PEPTOBIS"
"Cortef","HC20"
"DopAmine","DOPA400D"
"Astelin",NULL
"Muro-128",NULL
"dil","PHEN50"
"Nicot","NIAC100"
"Flucytosine","FLUC250"
"Glucovance (2.5mg-500mg)","GLU25/500"
"brinzolamide","BRIN1E"
"Lacri-Lube","DURA"
"Tretinoin (ATRA-All Transretinoic Acid)","TRET10C"
"esomeprazole magnesium",NULL
"Heparin Flush","HEP10I"
"Mirapex",NULL
"Theophylline SR","THEO300"
"Aveeno Colloidal","AVEENOC"
"Methimazole","METH5"
"anu","ANHC25R"
"Medrol (Pak)",NULL
"Abacavir","ABAC20S"
"carbidopa-levodopa","PARC25/100"
"Oxycodone-Acetaminophen Elixir","PERCBULKL"
"nifed","ADAL60"
"5% Dextrose","LEVOBASE"
"Nimodipine","NIMO30"
"Efavirenz Oral Soln","EFAV20L"
"Albumin 5% ","ALBU5250"
"Azathioprine","AZAT50L"
"Doxil","DOXO20I"
"sodium citrate-citric acid",NULL
"balsalazide",NULL
"Nystatin (Topical)","NYSTO"
"Valganciclovir HCl Suspension","VALC60L"
"Fentanyl Citrate","FEN625PCA"
"viread","TENO300"
"Nicotine Patch","NICO21P"
"Tretinoin (ATRA-All Transretinoic Acid)","TRET50L"
"Ropinirole HCl","ROPI2"
"Uniphyl","THEO400TR"
"Novomix 30",NULL
"NovoLOG Flexpen",NULL
"Augmentin Suspension","AUGMSUSP"
"Bacitracin","BACIEO"
"Lumigan 0.01%",NULL
"Citrate Dextrose 3% (ACD-A) CRRT","ACDA500"
"HydrALAzine","HYDZ20I"
"Nimodipine","SYRINGEPD"
"Hepar","HEP1I"
"Cyclosporine (Sandimmune)","CSA25"
"Quetiapine Fumarate","QUET100"
